# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
9.868251037597655539e+00 -1.971396058797836304e-02 -7.303543388843536106e-05 9.868178069591522217e-01 2.125535123050212999e-02 2.132838666439056466e-02 2.518671061843633791e-02 2.783644404262304237e-02 5.696103344234870882e-05 1.519746983831282773e-05 1.052036315588559395e-01 1.658158710562519702e-03 1.093752632662459146e+00
9.801582241058349965e+00 -2.341266255825757980e-02 2.956297248601913452e-05 9.801611602306365967e-01 2.441938631236553053e-02 2.438982333987951140e-02 2.518657874315977097e-02 2.744649387896060805e-02 5.696103853551904011e-05 3.725616206793347238e-05 8.972695969375607539e-02 7.823562170846529900e-04 1.070700039113963387e+00
9.703715801239013672e+00 -2.796371839940547943e-02 -2.678450196981430271e-04 9.703447997570038286e-01 2.826322410255670617e-02 2.853106912225484779e-02 2.518655136227607866e-02 2.716874610632658005e-02 5.696103289665188640e-05 4.915976569463964552e-05 7.870052217393656846e-02 3.097393958184797825e-04 1.049622906346457052e+00
9.565003967285155895e+00 -3.340470045804977417e-02 -2.103034406900405938e-04 9.564793586730957475e-01 3.279881626367568692e-02 3.300911970436572890e-02 2.518653981387615134e-02 2.687042653560638497e-02 5.696103044101618891e-05 6.660145186287991237e-05 6.685661206767531950e-02 3.827608513405130614e-04 1.023929035032801638e+00
9.372416210174559836e+00 -3.874449804425239563e-02 -7.165919989347458319e-04 9.371699631214142068e-01 3.821916170418262343e-02 3.893575370311737338e-02 2.518664561212062905e-02 2.669295705854892592e-02 5.696104317394201373e-05 5.371080515033099529e-05 5.980595707606276706e-02 1.290460855143748349e-04 9.978215582819260909e-01
9.104098033905028586e+00 -4.806107655167579651e-02 -5.405783653259277127e-04 9.103557467460632324e-01 4.478248357772827287e-02 4.532306194305420199e-02 2.518658954650163789e-02 2.643984071910381387e-02 5.696102607544162311e-05 6.193141598487272859e-05 4.975866900274678734e-02 1.973427128773033669e-04 9.608523368270132092e-01
8.735750865936278586e+00 -5.303823575377464294e-02 -6.998542696237564521e-04 8.735050976276397261e-01 5.272853039205074172e-02 5.342838466167450229e-02 2.518636900931596825e-02 2.646993100643157959e-02 5.696102562069427222e-05 -3.365737856597661279e-06 5.096256616385963500e-02 2.395214786719871217e-03 9.275627328478429634e-01
8.236514520645140891e+00 -6.948243826627731323e-02 -1.410806924104690465e-03 8.235103547573089378e-01 6.279915571212768555e-02 6.420996263623238165e-02 2.518642432987689903e-02 2.648079730570316453e-02 5.696102161891758577e-05 5.853387006027332973e-05 5.139169255714672729e-02 6.244826263121181777e-05 8.763753025011915554e-01
7.578777217864990590e+00 -8.004663512110710144e-02 -3.606745600700378505e-03 7.575170397758483887e-01 7.497127205133438665e-02 7.857801765203475952e-02 2.518669627606868675e-02 2.666415721178054879e-02 5.696102998626883802e-05 -2.635565397213212976e-06 5.866037051699477672e-02 2.366193435132736209e-03 8.221503493286762554e-01
6.730397891998291193e+00 -1.017234995961189270e-01 -3.003320842981338674e-03 6.727394580841064009e-01 9.049306884407996854e-02 9.349638968706130981e-02 2.518636453896760941e-02 2.703726310282945564e-02 5.696103430636867144e-05 4.684139894379768250e-05 7.348811937207935796e-02 4.017902364000328097e-04 7.496326885355670822e-01
