# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
9.873462581634521840e+00 -1.393359433859586716e-02 -9.969547390937804905e-05 9.873362898826598677e-01 2.188749499619007180e-02 2.198719047009944916e-02 3.405661135911941528e-02 2.694226372987031798e-02 5.204863566905260260e-03 5.141109926626086235e-03 2.088976954876978764e-01 1.871990128584257417e-03 1.198205670972851244e+00
9.806382369995116477e+00 -1.865561399608850479e-02 3.726929426193237305e-04 9.806754827499389870e-01 2.595335748046636443e-02 2.558066453784704070e-02 3.405665047466754913e-02 2.724364809691905837e-02 5.204863380640745163e-03 5.144170671701431448e-03 2.000491029678968524e-01 1.782110339438014533e-03 1.182879388999893200e+00
9.708498191833495383e+00 -2.464671805500984192e-02 7.119283080101012750e-04 9.709210455417632835e-01 3.104340303689241340e-02 3.033147472888231277e-02 3.405645564198493680e-02 2.762716542929410934e-02 5.204863473773002278e-03 5.181237729266286243e-03 1.887833038202598179e-01 6.937229391803296672e-04 1.161110000609213433e+00
9.570335006713866832e+00 -3.095365129411220551e-02 1.348124444484710780e-03 9.571683049201965554e-01 3.717292696237563948e-02 3.582480251789092740e-02 3.405591100454330444e-02 2.794812321662902901e-02 5.204863473773002278e-03 5.212823860347270966e-03 1.793458934902697754e-01 2.337446375453873634e-04 1.138096067492496477e+00
9.378206539154053445e+00 -3.926988318562507629e-02 1.718480139970779419e-03 9.379924893379211204e-01 4.483393244445323805e-02 4.311545230448245863e-02 3.405673317611217221e-02 2.833005078136920790e-02 5.204863473773002278e-03 5.192872462794184338e-03 1.681512541135795624e-01 3.520892892591500354e-04 1.108214312880730690e+00
9.109909915924072621e+00 -5.132919549942016602e-02 2.857128158211708069e-03 9.112766921520233376e-01 5.460853651165962358e-02 5.175140835344791551e-02 3.405654355883598605e-02 2.857907637953758379e-02 5.204863427206873720e-03 5.240892758592963219e-03 1.608345007083502587e-01 1.057926836373967528e-03 1.076026247854959372e+00
8.741203594207764382e+00 -6.061762757599353790e-02 4.104341566562652761e-03 8.745307981967925803e-01 6.726906038820743006e-02 6.316471882164478857e-02 3.405538611114024977e-02 2.904509026557207038e-02 5.204863520339131702e-03 5.102138593792914997e-03 1.471219803255169045e-01 3.016407631026587349e-03 1.028773527719898606e+00
8.239205932617187145e+00 -8.248961344361305237e-02 5.424646288156509052e-03 8.244630515575408491e-01 8.417871296405791959e-02 7.875406667590141574e-02 3.405663631856441220e-02 2.937635648995638032e-02 5.204863427206873720e-03 5.158098321408033718e-03 1.374263677919174420e-01 1.373156918963690893e-03 9.686872225565784644e-01
7.576253843307495295e+00 -1.015781834721565247e-01 5.784615874290466309e-03 7.582038402557372825e-01 1.061456725001335144e-01 1.003610566258430481e-01 3.405677080154419223e-02 2.975967060774564743e-02 5.204863380640745163e-03 5.093653686344623566e-03 1.261746223302396275e-01 3.265420991934260206e-03 8.934284994522015966e-01
6.721641063690185547e+00 -1.341399028897285461e-01 9.307454526424407265e-03 6.730948448181152122e-01 1.350940801203250885e-01 1.257866255939006916e-01 3.405654728412628451e-02 3.018962517380714347e-02 5.204863520339131702e-03 5.179774248972535133e-03 1.135441616539902415e-01 7.366945085931818696e-04 7.966831555071229864e-01
