# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
9.875484943389892578e+00 1.800044719129800797e-02 -4.220008850097656250e-05 9.875442922115326150e-01 2.169448845088482042e-02 2.173668853938579698e-02 4.940204061567783633e-02 2.881185803562402725e-02 6.977134180488064343e-05 3.427200882697434145e-05 4.167880986904554108e-01 7.185802961734730297e-04 1.405093171286662557e+00
9.808502292633056285e+00 1.291098166257143021e-02 9.323587641119956753e-04 9.809434413909912109e-01 2.591408584266901086e-02 2.498172707855701377e-02 4.940155558288097243e-02 2.910138871520757606e-02 6.977132579777389765e-05 3.375375090399757163e-05 4.109216122396164850e-01 7.290777480199095353e-04 1.393526490142739549e+00
9.711104965209960582e+00 7.310847751796245575e-03 1.976881362497806723e-03 9.713081896305084673e-01 3.094175998121500085e-02 2.896487861871719499e-02 4.940159060060977936e-02 2.949523162096738885e-02 6.977131697567528774e-05 4.972440483470563506e-05 4.029497580386355304e-01 4.057948721253605475e-04 1.376640623903767180e+00
9.572706317901610973e+00 1.523414626717567444e-03 3.507226333022117701e-03 9.576213300228119119e-01 3.698563314974308291e-02 3.347840681672096391e-02 4.940154664218425473e-02 2.980470135807990889e-02 6.977133325563045490e-05 6.987975320953410390e-05 3.966848533234748064e-01 2.194667197096900828e-06 1.357815604346505944e+00
9.379516410827637429e+00 -5.780436098575592041e-03 5.204031616449356426e-03 9.384720385074615256e-01 4.448354952037334581e-02 3.927951790392399112e-02 4.940162226557731628e-02 3.020241018384695053e-02 6.977132470638025281e-05 5.352870521164731783e-05 3.886352552984803643e-01 3.287871683056425702e-04 1.332640112590696813e+00
9.109099960327148082e+00 -1.598528400063514709e-02 7.888556644320487282e-03 9.116988480091094971e-01 5.392070226371288577e-02 4.603214561939239502e-02 4.940177313983440399e-02 3.046733140945434570e-02 6.977133496093302072e-05 7.310091605177149448e-05 3.832745370576440269e-01 6.739800778701840640e-05 1.302929339718861046e+00
8.736154174804687145e+00 -2.385602146387100220e-02 1.109912879765033791e-02 8.747253358364105447e-01 6.574278697371482849e-02 5.464365817606449405e-02 4.940120652318000932e-02 3.092514667659997801e-02 6.977132652536965636e-05 1.425861219104263034e-05 3.740001742171358279e-01 1.123711711517727226e-03 1.260948350562714371e+00
8.229191732406615500e+00 -3.980077058076858521e-02 1.537787504494190181e-02 8.244569599628448486e-01 8.086123242974281589e-02 6.548335738480090540e-02 4.940123818814754625e-02 3.127984348684549609e-02 6.977134053158806908e-05 6.441291843657381562e-05 3.668206580555495866e-01 1.084673642085228276e-04 1.206763960427544857e+00
7.561634397506713512e+00 -5.300801619887351990e-02 2.013307437300682068e-02 7.581767439842224121e-01 9.962907731533050815e-02 7.949600294232368747e-02 4.940167963504791399e-02 3.162088654935359816e-02 6.977131824896787564e-05 2.035066609096247703e-05 3.599228450669893498e-01 1.000384046091089708e-03 1.139233047470309623e+00
6.701902294158935902e+00 -7.340952008962631226e-02 2.925915718078613351e-02 6.731161534786224143e-01 1.239479310810565893e-01 9.468877390027045926e-02 4.940145611763000627e-02 3.200863599777221957e-02 6.977132725296541506e-05 3.644526726134245245e-05 3.520710012695091873e-01 6.745967145501855855e-04 1.055120908643467859e+00
