# epoch rollout_mean rollout_std
1.000000000000000000e+03 1.014101947873830900e+00 6.472591256974925822e-02
2.000000000000000000e+03 1.038942927643656672e-01 4.557261123532931751e-02
3.000000000000000000e+03 4.151980761797167130e-01 1.381635081000183618e+01
4.000000000000000000e+03 6.494253994628906185e+03 4.615808895461984207e+02
5.000000000000000000e+03 2.258670742431640519e+03 3.129290483349980718e+02
6.000000000000000000e+03 8.677325370597839083e+02 2.789792744055773142e+02
7.000000000000000000e+03 7.016977801471948339e+01 2.348320588279028698e+01
8.000000000000000000e+03 9.177675124645233495e+00 9.206398537479625332e+00
9.000000000000000000e+03 1.637542235940694813e+00 5.345048026924988926e-01
1.000000000000000000e+04 1.213896489232778597e+00 2.187224326329710311e-01
1.100000000000000000e+04 1.197189767360687274e+00 2.026638455104113057e-01
1.200000000000000000e+04 1.283377520531415961e+00 2.002880970874812705e-01
1.300000000000000000e+04 1.258142592072486909e+00 1.982134294490861259e-01
1.400000000000000000e+04 1.306810523360967702e+00 2.154833398839256231e-01
1.500000000000000000e+04 1.118377896577119834e+00 2.144196542861717680e-01
1.600000000000000000e+04 1.240071000054478567e+00 2.346341387788110910e-01
1.700000000000000000e+04 1.171053190827369583e+00 1.792410098480045899e-01
1.800000000000000000e+04 1.132988177374005367e+00 1.992179362934912712e-01
1.900000000000000000e+04 1.120868991896510014e+00 1.976390028742073535e-01
2.000000000000000000e+04 1.099297828450799042e+00 1.886802261482362908e-01
2.100000000000000000e+04 1.157962920516729444e+00 1.875569067096860554e-01
2.200000000000000000e+04 1.138397918403148745e+00 2.022576507952427716e-01
2.300000000000000000e+04 1.049782243177294738e+00 1.842346886046781207e-01
2.400000000000000000e+04 1.250529313325881908e+00 1.811118649590656715e-01
2.500000000000000000e+04 1.135326309919357346e+00 1.811520104770746042e-01
2.600000000000000000e+04 1.144591559961438243e+00 2.008305444805095763e-01
2.700000000000000000e+04 1.220602798640727960e+00 1.780052574824967648e-01
2.800000000000000000e+04 1.108387744337320235e+00 2.040977668347884466e-01
2.900000000000000000e+04 1.169439752459526138e+00 1.967037592137922675e-01
3.000000000000000000e+04 1.268027289241552280e+00 2.011649094874476129e-01
3.100000000000000000e+04 1.340426324248313872e+00 2.042636462823010923e-01
3.200000000000000000e+04 1.313955874711275174e+00 1.961536304823197907e-01
3.300000000000000000e+04 1.326580669492483100e+00 2.108475550139626287e-01
3.400000000000000000e+04 1.162934016957879013e+00 2.166269716333294182e-01
3.500000000000000000e+04 1.360872061431407820e+00 2.105636757720286967e-01
3.600000000000000000e+04 1.052804643720388400e+00 2.122084804361661081e-01
3.700000000000000000e+04 1.074224403977394049e+00 2.106079094548211628e-01
3.800000000000000000e+04 1.165931160375475839e+00 2.232168714892331929e-01
3.900000000000000000e+04 1.112037127196788822e+00 2.058228641780958101e-01
4.000000000000000000e+04 1.283981679946184062e+00 2.071502897932406273e-01
4.100000000000000000e+04 1.362181986629962926e+00 2.126935045141495895e-01
4.200000000000000000e+04 1.144497617602348249e+00 1.933651435562329102e-01
4.300000000000000000e+04 1.174329579949378921e+00 2.135949292843243863e-01
4.400000000000000000e+04 1.329556427240371708e+00 2.163769882591639881e-01
4.500000000000000000e+04 1.067925270438194296e+00 2.016187331582369180e-01
4.600000000000000000e+04 1.426067700654268355e+00 3.371727307848895183e-01
4.700000000000000000e+04 1.785911416888237069e+00 1.667152830804348618e+00
4.800000000000000000e+04 1.476480170905590139e+00 6.850540948476203651e-01
4.900000000000000000e+04 1.318375453203916470e+00 9.491476912163870905e-01
5.000000000000000000e+04 1.214240577802061960e+00 2.349993583646867723e-01
5.100000000000000000e+04 1.233203707069158606e+00 2.317717868706211382e-01
5.200000000000000000e+04 1.468255956351756986e+00 1.417116120732785145e+00
5.300000000000000000e+04 1.659323403447866330e+00 2.980372814906787404e+00
5.400000000000000000e+04 1.495135294765234102e+00 2.467191516857290434e+00
5.500000000000000000e+04 1.157289382860064553e+00 2.407632643298535657e-01
5.600000000000000000e+04 2.194769563660025735e+00 4.758138917912858368e+00
5.700000000000000000e+04 6.184096452414989287e+00 1.144264852545411948e+01
5.800000000000000000e+04 2.442885542720556469e+00 6.235538220925313624e+00
5.900000000000000000e+04 2.903070941597223342e+00 7.482738199698989234e+00
6.000000000000000000e+04 1.235059332457184844e+01 1.986942498908688748e+01
6.100000000000000000e+04 8.257402749776840523e+00 1.735889326410515920e+01
6.200000000000000000e+04 9.417794113889335961e+00 1.760769537858705647e+01
6.300000000000000000e+04 3.259643508601188699e+01 2.949195198488932945e+01
6.400000000000000000e+04 3.116554609337449122e+01 3.052965251620796394e+01
6.500000000000000000e+04 4.109900591078400822e+01 3.248901730348709549e+01
6.600000000000000000e+04 3.456474422848224748e+01 3.203203296637124708e+01
6.700000000000000000e+04 2.674683998200297452e+01 2.858051581171877231e+01
6.800000000000000000e+04 5.400649112051725353e+01 2.961148152263499966e+01
6.900000000000000000e+04 4.424494544839858889e+01 3.096580354238064459e+01
7.000000000000000000e+04 5.757545966196060050e+01 2.943252523335041460e+01
7.100000000000000000e+04 3.563141835385560796e+01 3.154599889054299311e+01
7.200000000000000000e+04 2.731662532535940358e+01 3.036431428144120304e+01
7.300000000000000000e+04 4.747932697737216756e+01 2.914011684937496582e+01
7.400000000000000000e+04 2.865641878536343512e+01 2.954042289244579678e+01
7.500000000000000000e+04 3.568437832707166990e+01 3.170242247604181074e+01
7.600000000000000000e+04 2.866548759201169005e+01 3.031356456554252077e+01
7.700000000000000000e+04 5.169437499564885741e+01 2.855216825736056308e+01
7.800000000000000000e+04 4.014307114309072233e+01 3.104707942635043594e+01
7.900000000000000000e+04 2.907084508553147373e+01 2.906860158558256657e+01
8.000000000000000000e+04 3.701529521620273755e+01 2.943191981646329936e+01
8.100000000000000000e+04 3.513824107468128233e+01 2.879814277470349282e+01
8.200000000000000000e+04 1.930516245684027510e+01 2.424421428533798206e+01
8.300000000000000000e+04 1.300787644524872277e+01 2.030652566558560324e+01
8.400000000000000000e+04 3.156874560421705311e+01 2.663710344401602370e+01
8.500000000000000000e+04 2.934460825350880597e+01 2.551164440149976542e+01
8.600000000000000000e+04 2.782490390306711348e+01 2.504600644044421998e+01
8.700000000000000000e+04 1.887799784728884589e+01 2.090273709200966579e+01
8.800000000000000000e+04 1.113431695601344096e+01 1.748987969948121801e+01
8.900000000000000000e+04 2.859856994912028494e+00 7.300315440628311059e+00
9.000000000000000000e+04 1.118096157917380395e+01 1.561761690435997707e+01
9.100000000000000000e+04 6.306433781266212790e+00 1.158065071446687533e+01
9.200000000000000000e+04 6.880329595819115518e+00 1.172317217734737227e+01
9.300000000000000000e+04 5.363892848074436337e+00 9.266461707769344969e+00
9.400000000000000000e+04 6.666651859998703245e+00 1.023055901242232402e+01
9.500000000000000000e+04 6.909231896996498534e+00 1.026001763370502928e+01
9.600000000000000000e+04 4.318121274560690281e+00 7.074866035507398898e+00
9.700000000000000000e+04 2.186777889851480694e+00 4.457360646954622752e+00
9.800000000000000000e+04 5.223986917495727411e+00 7.471483855828057408e+00
9.900000000000000000e+04 4.358082893192768204e+00 6.322035743402226515e+00
1.000000000000000000e+05 5.588245912134647497e+00 7.010467082740694522e+00
