# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
9.602556324005126598e+00 -5.635102465748786926e-02 -1.414980739355087226e-04 9.602414906024933083e-01 5.629094280302524705e-02 5.643244087696075439e-02 3.546355441212654253e-02 3.061670754104852538e-02 1.366712093947355933e-01 1.097054198071164333e+00
9.584357738494873047e+00 -5.606135167181491852e-02 -1.003999263048172051e-04 9.584257185459137407e-01 5.605803579092025896e-02 5.615843571722507754e-02 3.546353615820407867e-02 3.040907364338636329e-02 1.425256210245660626e-01 1.101051739496784698e+00
9.565269470214843750e+00 -5.576492287218570709e-02 -5.193240940570831299e-05 9.565217375755310503e-01 5.580844804644584378e-02 5.586038045585155210e-02 3.546327129006385942e-02 3.026334159076213975e-02 1.466285965731540797e-01 1.103202266558090727e+00
9.544928264617919211e+00 -5.544438585638999939e-02 1.669302582740783776e-06 9.544930040836334673e-01 5.554366782307625094e-02 5.554199852049350461e-02 3.546351790428161482e-02 3.012727424502372603e-02 1.504713568887974529e-01 1.104966030275013722e+00
9.523419761657715199e+00 -5.509971827268600464e-02 7.991679012775421143e-05 9.523499429225921187e-01 5.526291318237781802e-02 5.518299639225006381e-02 3.546356484293937406e-02 2.995541784912347794e-02 1.553184801938269632e-01 1.107748339906546864e+00
9.500592708587646484e+00 -5.469791404902935028e-02 1.501694321632385362e-04 9.500742793083191140e-01 5.496730655431747437e-02 5.481713712215423306e-02 3.546334914863109866e-02 2.976356986910104821e-02 1.607230962727428103e-01 1.110947545013225124e+00
9.476404380798339133e+00 -5.428823456168174744e-02 2.352122217416763414e-04 9.476639449596404585e-01 5.465836748480797092e-02 5.442315526306629181e-02 3.546344526112079482e-02 2.967802770435810228e-02 1.631374931003167772e-01 1.111036650281698845e+00
9.450704860687256570e+00 -5.391133949160575867e-02 3.266703337430953763e-04 9.451031625270843728e-01 5.433524809777736525e-02 5.400857776403426846e-02 3.546349741518497328e-02 2.948223184794187407e-02 1.686597770391745355e-01 1.114089609900001943e+00
9.423434543609619851e+00 -5.345803685486316681e-02 4.406835883855819919e-04 9.423875093460083452e-01 5.399754866957664351e-02 5.355686508119106293e-02 3.546357080340385715e-02 2.941063437610864570e-02 1.706803993506361694e-01 1.113508592285030074e+00
9.394539356231689453e+00 -5.292681232094764709e-02 5.374532192945480347e-04 9.395076930522918701e-01 5.364567786455154419e-02 5.310822464525699615e-02 3.546355739235877713e-02 2.931020632386207442e-02 1.735119520087692879e-01 1.113557098280355762e+00
9.363713455200194602e+00 -5.243550613522529602e-02 6.566036492586136298e-04 9.364369988441467729e-01 5.328164286911487441e-02 5.262503921985626359e-02 3.546371124684810638e-02 2.926910314708948066e-02 1.746745583525048384e-01 1.111768160845910236e+00
9.330997467041015625e+00 -5.193412490189075470e-02 7.762443274259567261e-04 9.331773877143859641e-01 5.290655493736266812e-02 5.213031060993671140e-02 3.546320237219333787e-02 2.916313223540782998e-02 1.776509089756579951e-01 1.111604541017469971e+00
9.296255111694335938e+00 -5.149806663393974304e-02 9.173005819320678711e-04 9.297172367572784646e-01 5.251968093216419220e-02 5.160238035023212433e-02 3.546357229351997098e-02 2.906436156481504579e-02 1.804446172416129535e-01 1.111079154580823403e+00
9.259469509124755859e+00 -5.084944143891334534e-02 1.048915460705757054e-03 9.260518252849578857e-01 5.212038122117519656e-02 5.107146576046943387e-02 3.546367324888706485e-02 2.898154444992542128e-02 1.827822164186640175e-01 1.109882957164327610e+00
9.220469760894776101e+00 -5.036654137074947357e-02 1.182520389556884852e-03 9.221652209758758323e-01 5.170599073171615323e-02 5.052347034215927402e-02 3.546336553990840634e-02 2.895703837275504997e-02 1.834661507139825343e-01 1.106813892079415274e+00
9.179042148590088601e+00 -4.975571297109127045e-02 1.336974650621414271e-03 9.180378973484039085e-01 5.127670504152774533e-02 4.993973039090633670e-02 3.546375185251236101e-02 2.881706375628709932e-02 1.874220224549357217e-01 1.106796894453961011e+00
9.135157775878905539e+00 -4.912080243229866028e-02 1.506190374493599025e-03 9.136663854122162309e-01 5.082990601658821106e-02 4.932371564209461073e-02 3.546336106956005096e-02 2.886951658874749999e-02 1.859339972794185891e-01 1.101106573066128469e+00
9.088771724700928090e+00 -4.850109852850437164e-02 1.680806279182434082e-03 9.090452790260314941e-01 5.036551058292389194e-02 4.868470430374145785e-02 3.546349965035915097e-02 2.885838914662599425e-02 1.862509500942615970e-01 1.096977035399475442e+00
9.039679813385010476e+00 -4.790211282670497894e-02 1.845057308673858599e-03 9.041524827480316162e-01 4.988121204078197618e-02 4.803615473210811476e-02 3.546349294483661790e-02 2.886169645935297151e-02 1.861575365846384056e-01 1.092155076641343925e+00
8.987826156616211648e+00 -4.713732004165649414e-02 2.009990066289901647e-03 8.989836156368256059e-01 4.937696084380149841e-02 4.736697077751159807e-02 3.546350970864296098e-02 2.887882366776466439e-02 1.856749682924880018e-01 1.086668573995603460e+00
8.932848453521728516e+00 -4.650184698402881622e-02 2.231574058532714757e-03 8.935080051422119585e-01 4.885007999837398529e-02 4.661850593984127183e-02 3.546351641416549405e-02 2.893517836928367545e-02 1.840860327683146169e-01 1.079825611969059240e+00
