# epoch rollout_mean rollout_std
1.000000000000000000e+03 -7.289284482151270339e-01 5.877646194793073597e-02
2.000000000000000000e+03 -5.664497275054455327e-01 3.162249278919530837e-02
3.000000000000000000e+03 2.203499306738376518e-01 1.480750668507182545e-02
4.000000000000000000e+03 5.342568956166505734e-01 2.880773501979082274e-02
5.000000000000000000e+03 4.240253257304429924e-01 4.665277455951110513e-02
6.000000000000000000e+03 7.762210997343063079e-01 8.907789993745564294e-02
7.000000000000000000e+03 2.295149956543929726e+00 7.779953344678136595e+00
8.000000000000000000e+03 5.277308001899719159e+01 6.148798626725969774e-01
9.000000000000000000e+03 5.055068518447875903e+01 7.408136049573765813e-01
1.000000000000000000e+04 4.590253038024902565e+01 1.845960695213009428e+00
1.100000000000000000e+04 2.887817790861427625e+01 1.136923162209385652e+01
1.200000000000000000e+04 1.915189120280742685e+01 1.361573325373388776e+01
1.300000000000000000e+04 2.212083515450358462e+01 1.111512203849986591e+01
1.400000000000000000e+04 3.665930154514312989e+01 2.248632056442740890e+00
1.500000000000000000e+04 3.218823506712913485e+01 3.158854846880654321e+00
1.600000000000000000e+04 2.947031654596328565e+01 2.994385981218057768e+00
1.700000000000000000e+04 2.543336408293247075e+01 3.925336633326917735e+00
1.800000000000000000e+04 2.059297054123878468e+01 4.527222829653352321e+00
1.900000000000000000e+04 1.791234348475932947e+01 3.929703836808660089e+00
2.000000000000000000e+04 1.764356547996401847e+00 1.754921990119123310e+00
2.100000000000000000e+04 8.744372536242007721e-01 2.386740715190010242e-01
2.200000000000000000e+04 6.453468246221542692e+00 3.470283015833636409e+00
2.300000000000000000e+04 4.268732715576887493e+00 2.267845883738920598e+00
2.400000000000000000e+04 1.690686444461345639e+00 7.871123226160067210e-01
2.500000000000000000e+04 5.868750119715929081e+00 2.383808268665518426e+00
2.600000000000000000e+04 1.006699482098221798e+00 2.557649859941028558e-01
2.700000000000000000e+04 1.865943174391984982e+00 7.212762791847906474e-01
2.800000000000000000e+04 2.719254380464553922e+00 1.116870632976417532e+00
2.900000000000000000e+04 3.167825237751006995e+00 1.421861359752181198e+00
3.000000000000000000e+04 5.624084176599979834e+00 1.839190945456761650e+00
3.100000000000000000e+04 9.912538707852364128e-01 2.344970229169671128e-01
3.200000000000000000e+04 1.507493259012699038e+00 4.573852088710883557e-01
3.300000000000000000e+04 3.100114723801612904e+00 1.428408931410601657e+00
3.400000000000000000e+04 1.038308737516403291e+00 2.684842606237624607e-01
3.500000000000000000e+04 2.750622783988714293e+00 1.262934338827910619e+00
3.600000000000000000e+04 1.921734095096588213e+00 6.579753950462676748e-01
3.700000000000000000e+04 4.971826606333255683e+00 1.691415314558101679e+00
3.800000000000000000e+04 1.476090608000755200e+00 4.226218487560557402e-01
3.900000000000000000e+04 1.705028292641043608e+00 7.498156739187458175e-01
4.000000000000000000e+04 1.241552674949169210e+00 3.883093508129977778e-01
4.100000000000000000e+04 1.032894444316625693e+00 2.459623786265538736e-01
4.200000000000000000e+04 2.687851399540901021e+00 1.094510566235048277e+00
4.300000000000000000e+04 1.065626262590289031e+00 2.861113239591456803e-01
4.400000000000000000e+04 1.404785564422607491e+00 4.340282142829716694e-01
4.500000000000000000e+04 2.843527160167694134e+00 1.440348234431313212e+00
4.600000000000000000e+04 2.832800261050462787e+00 1.158510185094338896e+00
4.700000000000000000e+04 1.175100984364747969e+00 3.238181983689687460e-01
4.800000000000000000e+04 1.362157835304736997e+00 4.275194978049787209e-01
4.900000000000000000e+04 1.045656467556953517e+00 1.917467643390054211e-01
5.000000000000000000e+04 2.398785609513521155e+00 8.064099470535980307e-01
5.100000000000000000e+04 2.517354424655437573e+00 1.036507373606927906e+00
5.200000000000000000e+04 2.015313243955373590e+00 6.399681882366345942e-01
5.300000000000000000e+04 1.831390080869197856e+00 6.135691839251138369e-01
5.400000000000000000e+04 1.047332015991210952e+00 2.388379907546863412e-01
5.500000000000000000e+04 1.249121535137295735e+00 3.418825227061184635e-01
5.600000000000000000e+04 1.753218422353267636e+00 6.681908672239625924e-01
5.700000000000000000e+04 1.281781919479370035e+00 3.238782040507930948e-01
5.800000000000000000e+04 2.550288360953330891e+00 1.005233395631518034e+00
5.900000000000000000e+04 1.269198448508977783e+00 3.777652436333908681e-01
6.000000000000000000e+04 1.761796341329812998e+00 6.110948624972306620e-01
