# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
7.054012584686279119e+00 -8.587500080466270447e-02 -4.179671406745910536e-04 7.053594768047333208e-01 8.556695282459259033e-02 8.598491996526717862e-02 3.002710063010454247e-02 8.770558461546898443e-02 6.710640434175729578e-03 -1.626159418374300072e-02 1.920880896692913620e+00 7.650500426312289992e-01 3.391708383269550708e+00
6.938910627365112660e+00 -8.475055545568466187e-02 -6.430476903915404840e-04 6.938267648220062256e-01 8.438878953456878385e-02 8.503183722496032715e-02 3.002752307802438597e-02 8.806948289275169650e-02 6.710640573874116117e-03 -1.699326988309621950e-02 1.932958628055216010e+00 7.894061189991595784e-01 3.416834559566773066e+00
6.819162082672119318e+00 -8.296786248683929443e-02 -6.340876221656799533e-04 6.818527996540069136e-01 8.318257853388785761e-02 8.381666615605354309e-02 3.002723827958107133e-02 8.848024159669876099e-02 6.710640573874116117e-03 -1.773924492299556663e-02 1.946665982762719072e+00 8.142568846460208620e-01 3.443409754684912727e+00
6.694813394546509144e+00 -8.229584991931915283e-02 -8.755214512348175049e-04 6.693937838077544944e-01 8.196202963590622226e-02 8.283755108714103976e-02 3.002731744199991365e-02 8.867918774485587796e-02 6.710640573874116117e-03 -1.851482689380645752e-02 1.953283719539492980e+00 8.400839507413684348e-01 3.463636975539850837e+00
6.565211677551269887e+00 -8.165949955582618713e-02 -9.805187582969665527e-04 6.564231097698212114e-01 8.073563426733017245e-02 8.171615302562713901e-02 3.002700824290514131e-02 8.908577114343643744e-02 6.710640573874116117e-03 -1.913504917174577852e-02 1.966854720283996327e+00 8.607480817162672659e-01 3.485006430528382104e+00
6.430422592163085760e+00 -7.961649075150489807e-02 -1.067855209112167402e-03 6.429354786872863992e-01 7.950712591409683783e-02 8.057498112320900241e-02 3.002731818705797057e-02 8.957842811942100247e-02 6.710640480741858135e-03 -1.999851539731025557e-02 1.983231055114566876e+00 8.894952160154779852e-01 3.516729605026443384e+00
6.290315866470336914e+00 -7.917876169085502625e-02 -1.357697695493698163e-03 6.288958191871643066e-01 7.827804610133171082e-02 7.963574379682540616e-02 3.002732992172241211e-02 8.991109728813170832e-02 6.710640527307987560e-03 -2.074796091765165190e-02 1.994308768729176728e+00 9.144536499124767959e-01 3.539015935524311818e+00
6.144470262527465643e+00 -7.801003381609916687e-02 -1.556680351495742841e-03 6.142913579940796343e-01 7.704301550984382629e-02 7.859969586133956632e-02 3.002722896635532518e-02 9.006389006972312372e-02 6.710640434175729578e-03 -2.158320397138595650e-02 1.999407310232915735e+00 9.422729095755683071e-01 3.557528258154059486e+00
5.993048143386840998e+00 -7.715077325701713562e-02 -1.707472652196884199e-03 5.991340637207031028e-01 7.580579817295074463e-02 7.751327082514762601e-02 3.002730179578065942e-02 9.079886004328727167e-02 6.710640573874116117e-03 -2.233291845768690248e-02 2.023876759183942831e+00 9.672383895203959803e-01 3.591956685077239086e+00
5.836354446411132990e+00 -7.653181999921798706e-02 -2.210160344839096156e-03 5.834144234657288042e-01 7.456979602575301846e-02 7.677995637059212286e-02 3.002741187810897827e-02 9.096903651952743808e-02 6.710640480741858135e-03 -2.333486508578062196e-02 2.029533044232076477e+00 1.000602572325791861e+00 3.615760200368436372e+00
5.673926496505737660e+00 -7.512149587273597717e-02 -2.522885054349899465e-03 5.671403586864471880e-01 7.330940067768096369e-02 7.583228573203086575e-02 3.002741485834121635e-02 9.177540466189385016e-02 6.710640387609601021e-03 -2.421931289136409690e-02 2.056387141310750621e+00 1.030057146905928533e+00 3.656107531957475842e+00
5.506605148315429688e+00 -7.491211220622062683e-02 -3.190445154905319127e-03 5.503414630889892356e-01 7.206309065222740728e-02 7.525353580713271817e-02 3.002693504095077515e-02 9.247950688004494268e-02 6.710640434175729578e-03 -2.512735240161418845e-02 2.079885001644069753e+00 1.060314440728262975e+00 3.693731350616227260e+00
5.333868455886840998e+00 -7.407072931528091431e-02 -3.471727669239044363e-03 5.330396652221679465e-01 7.080226391553878784e-02 7.427399158477783481e-02 3.002670444548129897e-02 9.312982857227325439e-02 6.710640480741858135e-03 -2.599995788186788490e-02 2.101566764986316560e+00 1.089383565915871266e+00 3.727461723793594750e+00
5.156670045852661310e+00 -7.278537005186080933e-02 -3.793955594301223581e-03 5.152876079082489014e-01 6.955463141202926358e-02 7.334858700633048456e-02 3.002717792987823556e-02 9.388882368803024014e-02 6.710640573874116117e-03 -2.696005105972289900e-02 2.126794795873252486e+00 1.121340530605508645e+00 3.767216889981311212e+00
4.974442577362060192e+00 -7.049294188618659973e-02 -3.855555504560470755e-03 4.970586985349655373e-01 6.829960718750953397e-02 7.215516269207000732e-02 3.002730123698711326e-02 9.435380175709724704e-02 6.710640387609601021e-03 -2.806193139404058318e-02 2.142267132509783956e+00 1.158031869266356040e+00 3.801213255815665715e+00
4.788844585418701172e+00 -7.113603129982948303e-02 -4.697699844837188547e-03 4.784146964550018422e-01 6.705848947167396268e-02 7.175618931651114862e-02 3.002708908170461516e-02 9.460954740643501282e-02 6.710640620440244675e-03 -2.881674431264400621e-02 2.150806498320525506e+00 1.183177791068257934e+00 3.817096685688622593e+00
4.598363018035888317e+00 -7.096404954791069031e-02 -4.931890964508056294e-03 4.593431144952774270e-01 6.582026705145835321e-02 7.075215801596641818e-02 3.002712130546569824e-02 9.524985924363135736e-02 6.710640480741858135e-03 -2.970032673329114914e-02 2.172127566691560929e+00 1.212602661520959302e+00 3.849005233672305515e+00
4.406106758117675604e+00 -7.095164805650711060e-02 -6.510750949382781635e-03 4.399595975875854603e-01 6.456323936581612188e-02 7.107399031519889832e-02 3.002708777785301208e-02 9.612495526671409329e-02 6.710640294477343906e-03 -3.072780314832925658e-02 2.201274661587774961e+00 1.246822326511901613e+00 3.894567336636644672e+00
4.209368801116943004e+00 -6.846528127789497375e-02 -6.566131114959716450e-03 4.202802628278732300e-01 6.330375224351883490e-02 6.986988335847854614e-02 3.002741541713476250e-02 9.676658585667610724e-02 6.710640573874116117e-03 -3.160487283021211347e-02 2.222607890495793104e+00 1.276017694847820794e+00 3.925471979286446977e+00
4.010488080978393377e+00 -6.813668832182884216e-02 -7.439112663269043316e-03 4.003048956394195668e-01 6.205865517258644243e-02 6.949776783585548401e-02 3.002724237740039825e-02 9.724642038345336637e-02 6.710640527307987560e-03 -3.260423205792904039e-02 2.238606434748932283e+00 1.309306798466366439e+00 3.955657241517987810e+00
3.810773181915283025e+00 -6.850241497159004211e-02 -8.441241458058357239e-03 3.802331894636153953e-01 6.081352420151233534e-02 6.925476565957069952e-02 3.002740554511547019e-02 9.786612540483474731e-02 6.710640527307987560e-03 -3.352694287896156033e-02 2.259226817166537060e+00 1.340028639652982800e+00 3.987929887741193724e+00
3.608297181129455744e+00 -6.717631220817565918e-02 -8.588780835270880959e-03 3.599708408117294201e-01 5.959632880985736569e-02 6.818510964512825012e-02 3.002743218094110558e-02 9.868680611252785007e-02 6.710640480741858135e-03 -3.450710363686084609e-02 2.286554957998686355e+00 1.372669626488794536e+00 4.027784206134480627e+00
