# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std real_increment_mean fake_increment_mean increment_std_rel_error increment_mean_abs_error checkpoint_selection_score
9.878768348693848012e+00 1.127513833343982697e-01 -7.411241531372070855e-05 9.878694236278533491e-01 2.174451071768999239e-02 2.181862313300371101e-02 1.452446565032005366e-01 3.036928195506334235e-02 -7.812334035406820910e-04 -7.111094295396469317e-04 7.909094717354709925e-01 4.827989937034767574e-04 1.779335806772341488e+00
9.811740016937255504e+00 1.082805246114730835e-01 1.373955048620700836e-03 9.813113868236541526e-01 2.613062541931867461e-02 2.475667037069797377e-02 1.452452167868614197e-01 3.065548632293939660e-02 -7.812333715264685452e-04 -7.128853205358609991e-04 7.889397874718765413e-01 4.705700642137745048e-04 1.772095699408365199e+00
9.715108776092529652e+00 1.041375361382961273e-01 3.277653455734253016e-03 9.718386530876159668e-01 3.145072497427463254e-02 2.817307151854038169e-02 1.452426284551620594e-01 3.102076500654220650e-02 -7.812334079062566161e-04 -6.984141771681606336e-04 7.864210711602133141e-01 5.702129713460325332e-04 1.762107590674909741e+00
9.577540588378905539e+00 1.001615598797798157e-01 5.793931894004344940e-03 9.583334684371948020e-01 3.783692382276058336e-02 3.204299192875623842e-02 1.452447250485420227e-01 3.135194201022386412e-02 -7.812334253685549335e-04 -6.803895248594926670e-04 7.841440231269677374e-01 6.943033592074690638e-04 1.748965726817374389e+00
9.385002326965331321e+00 9.417178481817245483e-02 9.046839922666550030e-03 9.394048988819122536e-01 4.582680575549602509e-02 3.677996583282947679e-02 1.452444270253181458e-01 3.170432709157466888e-02 -7.812333991751074574e-04 -6.987735629081726291e-04 7.817174280509235906e-01 5.677314989303732830e-04 1.730736898354432896e+00
9.115664768218994851e+00 8.704501017928123474e-02 1.337724514305591549e-02 9.129042208194733110e-01 5.575899109244346341e-02 4.238174594938755313e-02 1.452445000410080012e-01 3.195898719131946841e-02 -7.812333788024261594e-04 -6.820042035542428493e-04 7.799642176944654448e-01 6.831871445699078333e-04 1.706928870801564635e+00
8.744849872589110618e+00 8.060380816459655762e-02 1.923693045973777840e-02 8.764086902141571267e-01 6.841601394116877954e-02 4.917908348143100461e-02 1.452435091137886103e-01 3.240483812987804413e-02 -7.812333395122549994e-04 -7.378345122560858943e-04 7.768930375727296500e-01 2.988004594537179088e-04 1.672837458706078362e+00
8.239562845230102184e+00 7.019327580928802490e-02 2.695812210440635612e-02 8.266521096229553223e-01 8.430528491735458929e-02 5.734716281294822970e-02 1.452434286475181580e-01 3.274694494903087477e-02 -7.812333613401278420e-04 -6.881410285132005594e-04 7.745375108895503624e-01 6.409400665706266147e-04 1.628788682683482758e+00
7.570187711715698597e+00 6.035852804780006409e-02 3.757674545049667636e-02 7.607764482498169389e-01 1.048209041357040378e-01 6.724415868520736139e-02 1.452444195747375488e-01 3.307518325746059557e-02 -7.812334210029803000e-04 -7.326338411075994806e-04 7.722791460417274267e-01 3.346054880272947090e-04 1.570966945230068301e+00
6.714037036895751598e+00 4.867967590689659119e-02 5.227821841835975786e-02 6.766315221786498579e-01 1.304457791149616352e-01 7.816756069660187045e-02 1.452452108263969366e-01 3.343810550868511061e-02 -7.812333649781066491e-04 -7.205601810710504868e-04 7.697817000698115031e-01 4.177293251972178257e-04 1.499109169992018487e+00
